COUNT_time,drivinstage,turn,omega,hsv.val,distance,gyro_deg
0,100,90,0,3,255,0
4,0,62,0,3,255,0
8,0,63,0,3,255,0
12,0,63,0,3,255,0
16,0,63,0,3,255,0
20,0,63,0,3,255,0
24,0,63,0,3,255,0
28,0,63,0,3,255,0
32,0,63,0,3,255,0
36,0,63,0,3,255,0
40,0,63,0,3,255,0
44,0,63,0,3,255,0
48,0,63,0,3,255,0
52,0,63,2,3,255,-1
56,0,63,2,3,255,-1
60,0,63,2,3,255,-1
64,0,63,2,3,255,-1
68,0,63,2,3,255,-1
72,0,64,3,3,255,-1
76,0,64,3,3,255,-1
80,0,64,3,3,255,-1
84,0,64,4,3,255,-1
88,0,64,4,3,255,-1
92,0,64,5,3,255,-1
96,0,64,5,3,255,-1
100,0,64,5,3,255,-1
104,0,64,7,3,255,-1
108,0,64,7,3,255,-1
112,0,64,6,3,255,-1
116,0,64,6,3,255,-1
120,0,64,6,3,255,-1
124,0,64,6,3,255,-1
128,0,64,6,3,255,-1
132,0,64,7,3,255,-1
136,0,64,7,3,255,-1
140,0,64,7,3,255,-1
144,0,64,8,3,255,-1
148,0,64,8,3,255,-1
152,0,64,9,3,255,-1
156,0,64,9,3,255,-1
160,0,64,9,3,255,-1
164,0,64,10,3,255,-1
168,0,64,10,3,255,-1
172,0,64,11,3,255,-1
176,0,64,11,3,255,-1
180,0,64,11,3,255,-1
184,0,64,11,3,255,-1
188,0,64,11,3,255,-1
192,0,64,12,3,255,-1
196,0,64,12,3,255,-1
200,0,64,12,3,255,-1
204,0,64,12,3,255,-1
208,0,64,12,3,255,-1
212,0,64,12,3,255,-1
216,0,64,12,3,255,-1
220,0,64,12,3,255,-1
224,0,64,13,3,255,-1
228,0,64,13,3,255,-1
232,0,64,14,3,255,-1
236,0,64,14,3,255,-1
240,0,64,14,3,255,-1
244,0,64,15,3,255,-1
248,0,64,15,3,255,-1
252,0,64,15,3,255,-1
256,0,64,15,3,255,-1
260,0,64,15,3,255,-1
264,0,64,16,3,255,-1
268,0,64,16,3,255,-1
272,0,64,17,3,255,-1
276,0,64,17,3,255,-1
280,0,64,17,3,255,-1
284,0,58,18,4,255,-1
288,0,60,18,4,255,-1
292,0,49,19,6,255,-1
296,0,52,19,6,255,-1
300,0,52,19,6,255,-1
304,0,47,19,7,255,-1
308,0,49,19,7,255,-1
312,0,38,20,9,255,-1
316,0,41,20,9,255,-1
320,0,41,20,9,255,-1
324,0,31,21,11,255,-1
328,0,34,21,11,255,-1
332,0,28,21,12,255,-1
336,0,30,21,12,255,-1
340,0,30,21,12,255,-1
344,0,19,22,14,255,-1
348,0,22,22,14,255,-1
352,0,17,23,15,255,-1
356,0,19,23,15,255,-1
360,0,19,23,15,255,-1
364,0,8,23,17,255,-1
368,0,11,23,17,255,-1
372,0,6,23,18,255,-1
376,0,7,23,18,255,-1
380,0,7,23,18,255,-1
384,0,-2,24,20,255,-1
388,0,0,24,20,255,-1
392,100,-4,24,21,255,-1
396,100,-3,24,21,255,-1
400,100,-3,24,21,255,-1
404,100,-14,0,23,255,-1
408,0,-10,0,23,255,-1
412,0,-16,0,24,255,-1
416,0,-14,0,24,255,-1
420,0,-14,0,24,255,-1
424,0,-25,0,26,255,-1
428,0,-22,0,26,255,-1
432,0,-27,0,27,255,-1
436,0,-25,0,27,255,-1
440,0,-26,0,27,255,-1
444,0,-31,0,28,255,-1
448,0,-29,0,28,255,-1
452,0,-40,0,30,255,-1
456,0,-37,0,30,255,-1
460,0,-37,0,30,255,-1
464,0,-37,0,30,255,-1
468,0,-37,0,30,255,-1
472,0,-48,0,32,255,-1
476,0,-44,0,32,255,-1
480,0,-44,0,32,255,-1
484,0,-50,0,33,255,-1
488,0,-48,0,33,255,-1
492,0,-54,-1,34,255,-1
496,0,-52,-1,34,255,-1
500,0,-52,-1,34,255,-1
504,0,-57,-1,35,255,-1
508,0,-56,-1,35,255,-1
512,0,-56,-2,35,255,-1
516,0,-56,-2,35,255,-1
520,0,-56,-2,35,255,-1
524,0,-61,-2,36,255,-1
528,0,-60,-2,36,255,-1
532,0,-60,-3,36,255,-1
536,0,-60,-3,36,255,-1
540,0,-60,-3,36,255,-1
544,0,-60,-4,36,255,-1
